[sheet SPReport_Definition]
0 | Plant Item | Representation | Drawing | Drawing Project
8 | PlantItem | Representation | Drawing | DrawingProject
Plant Item;PlantItem.Representation | Representation;Drawing.Representation | Drawing;Drawing.DrawingProject
EA_Comp & Instr Valves (M)
EAQ_ValveList(Process+Instr)_G-UnaFila.xls | False | False | False | False
48 | 0 | 3 | 2
1 | 0 | 0 | 0
3 | False | False | False | False
Representation.FileName | Revision | Project.Name
Yanbu | KKSEquipmentUnitKey | EA_KKSDrawingNumber | Project.Description
1 | NombreSimbolo | EA_DrawingNumber
PlantItemType
ItemTag
SupplyBy
EA_Description
EA_PEDInspectionCategory
EA_TechnicalSpecification
EA_GEIdentification
EA_Note1
EA_Supplier
EA_DrawingNumber
EA_ManufacturerDrawing
EA_EnvironmentCondition
EA_FuncEmergency
EA_FuncStop
EA_FuncStartUp
EA_FuncLoad50
EA_FuncLoad100
EA_PowerRating
EA_PowerAbsorbed
EA_SheetNumber
EA_DrawingZone
EA_Material
EA_EndType
EA_RAP
EA_InspectionCategory
EA_TOP
EA_DataSheet
EA_PaintSystem
EA_RAL
EA_Manufacturer
EA_PurchaseOrderDate
EA_AuxNominalDiameter
EA_ValveCatalogNumber
EA_Rating
EA_Schedule
EA_LineOfValveAux
EA_Fluid
EA_DesignMaxPressure
EA_DesignMaxTemperature
EA_ActuatorType
EA_AccessoryType
EA_InsulThick
EA_AccessoryTypeAll
EA_DesignMaxMinPressure
EA_AuxDINNominalDiameter
ItemTag,0

[sheet VALVE LIST]
M | KKS Identification | ND (") | ND (mm) | Type | Material | Valve Qty | Rating | End | SCH | Fluid | Design | Drive
P (barg) | T (ºC)
001 | 10WSN10AA701 | 1/2" | 15 | BALL VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
002 | 10WSN10AA702 | 1/2" | 15 | BALL VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
003 | 10WSN10AA001 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
004 | 10WSN10AA201 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
005 | 10WSN10AA002 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
006 | 10WSN10AA003 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
007 | 10WSC10AA001 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
008 | 10WSC10AA002 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
009 | 10WSC10AA003 | 6" | 150 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
010 | 10WSC10AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | BW | - | MOLTEN SALTS | 3.5 | 398 | Manual
011 | 10WSN10AA019 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
012 | 10WSC10AA901 | * | * | PRESSURE SAFETY VALVE | ASTM A105 | 1 | 300 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | -
013 | 10WSC10AA902 | * | * | PRESSURE SAFETY VALVE | ASTM A105 | 1 | 300 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | -
014 | 10WSC11AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
015 | 10WSC12AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
016 | 10WSC13AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
017 | 10WSC11AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
018 | 10WSC12AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
019 | 10WSC13AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
020 | 10WSX10AA201 | 20" | 500 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
021 | 10WSX10AA202 | 12" | 300 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
022 | 10WSX10AA901 | * | * | PRESSURE SAFETY VALVE | ASTM A105 | 1 | 300 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | -
023 | 10WTX11AA301 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
024 | 10WTX11AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
025 | 10WTX11AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
026 | 10WSX11AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
027 | 10WTX12AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
028 | 10WTX12AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
029 | 10WTX13AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
030 | 10WTX13AA501 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
031 | 10WTX13AA301 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
032 | 10WSX13AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
033 | 10WSX13AA302 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
034 | 10WSX13AA303 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
